Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-20 21:04:02.017924 	2015-04-20 21:04:02.038828 	1 	0:00:00.020904
2 	2015-04-20 21:04:02.049795 	2015-04-20 21:04:02.060957 	9 	0:00:00.011162
3 	2015-04-20 21:04:02.071679 	2015-04-20 21:04:02.089297 	4 	0:00:00.017618
4 	2015-04-20 21:04:02.099763 	2015-04-20 21:04:02.113161 	9 	0:00:00.013398
5 	2015-04-20 21:04:02.123563 	2015-04-20 21:04:02.137528 	0 	0:00:00.013965
6 	2015-04-20 21:04:02.148193 	2015-04-20 21:04:02.160650 	1 	0:00:00.012457
7 	2015-04-20 21:04:02.171193 	2015-04-20 21:04:02.183952 	5 	0:00:00.012759
8 	2015-04-20 21:04:02.196189 	2015-04-20 21:04:02.207894 	8 	0:00:00.011705
9 	2015-04-20 21:04:02.218651 	2015-04-20 21:04:02.229097 	2 	0:00:00.010446
10 	2015-04-20 21:04:02.240532 	2015-04-20 21:04:02.253751 	6 	0:00:00.013219
11 	2015-04-20 21:04:02.266368 	2015-04-20 21:04:02.277354 	0 	0:00:00.010986
12 	2015-04-20 21:04:02.288255 	2015-04-20 21:04:02.302536 	4 	0:00:00.014281
13 	2015-04-20 21:04:02.313789 	2015-04-20 21:04:02.324600 	0 	0:00:00.010811
14 	2015-04-20 21:04:02.334956 	2015-04-20 21:04:02.347932 	9 	0:00:00.012976
15 	2015-04-20 21:04:02.358724 	2015-04-20 21:04:02.372509 	0 	0:00:00.013785
16 	2015-04-20 21:04:02.383638 	2015-04-20 21:04:02.395855 	2 	0:00:00.012217
17 	2015-04-20 21:04:02.406717 	2015-04-20 21:04:02.420464 	5 	0:00:00.013747
18 	2015-04-20 21:04:02.430978 	2015-04-20 21:04:02.444580 	0 	0:00:00.013602
19 	2015-04-20 21:04:02.456071 	2015-04-20 21:04:02.470523 	1 	0:00:00.014452
20 	2015-04-20 21:04:02.481119 	2015-04-20 21:04:02.493718 	7 	0:00:00.012599
21 	2015-04-20 21:04:02.506214 	2015-04-20 21:04:02.518883 	6 	0:00:00.012669
22 	2015-04-20 21:04:02.531167 	2015-04-20 21:04:02.540692 	4 	0:00:00.009525
23 	2015-04-20 21:04:02.551193 	2015-04-20 21:04:02.567198 	3 	0:00:00.016005
24 	2015-04-20 21:04:02.578578 	2015-04-20 21:04:02.590511 	9 	0:00:00.011933
25 	2015-04-20 21:04:02.601141 	2015-04-20 21:04:02.616273 	5 	0:00:00.015132
26 	2015-04-20 21:04:02.627637 	2015-04-20 21:04:02.639178 	1 	0:00:00.011541
27 	2015-04-20 21:04:02.651314 	2015-04-20 21:04:02.662708 	9 	0:00:00.011394
28 	2015-04-20 21:04:02.673687 	2015-04-20 21:04:02.685710 	1 	0:00:00.012023
29 	2015-04-20 21:04:02.696220 	2015-04-20 21:04:02.709849 	8 	0:00:00.013629
30 	2015-04-20 21:04:02.721051 	2015-04-20 21:04:02.732747 	3 	0:00:00.011696
31 	2015-04-20 21:04:02.743660 	2015-04-20 21:04:02.755480 	7 	0:00:00.011820
32 	2015-04-20 21:04:02.765730 	2015-04-20 21:04:02.783317 	4 	0:00:00.017587
33 	2015-04-20 21:04:02.795193 	2015-04-20 21:04:02.807767 	5 	0:00:00.012574
34 	2015-04-20 21:04:02.818730 	2015-04-20 21:04:02.830984 	6 	0:00:00.012254
35 	2015-04-20 21:04:02.843121 	2015-04-20 21:04:02.854754 	5 	0:00:00.011633
36 	2015-04-20 21:04:02.866058 	2015-04-20 21:04:02.879551 	6 	0:00:00.013493
37 	2015-04-20 21:04:02.891196 	2015-04-20 21:04:02.904085 	4 	0:00:00.012889
38 	2015-04-20 21:04:02.915315 	2015-04-20 21:04:02.928190 	6 	0:00:00.012875
39 	2015-04-20 21:04:02.938521 	2015-04-20 21:04:02.951938 	5 	0:00:00.013417
40 	2015-04-20 21:04:02.963650 	2015-04-20 21:04:02.974837 	6 	0:00:00.011187
41 	2015-04-20 21:04:02.986025 	2015-04-20 21:04:03.000462 	9 	0:00:00.014437
42 	2015-04-20 21:04:03.011117 	2015-04-20 21:04:03.023232 	2 	0:00:00.012115
43 	2015-04-20 21:04:03.033772 	2015-04-20 21:04:03.049246 	3 	0:00:00.015474
44 	2015-04-20 21:04:03.060555 	2015-04-20 21:04:03.070006 	8 	0:00:00.009451
45 	2015-04-20 21:04:03.081163 	2015-04-20 21:04:03.094809 	1 	0:00:00.013646
46 	2015-04-20 21:04:03.107652 	2015-04-20 21:04:03.117514 	6 	0:00:00.009862
47 	2015-04-20 21:04:03.128650 	2015-04-20 21:04:03.141808 	7 	0:00:00.013158
48 	2015-04-20 21:04:03.154001 	2015-04-20 21:04:03.165347 	1 	0:00:00.011346
49 	2015-04-20 21:04:03.175599 	2015-04-20 21:04:03.189085 	0 	0:00:00.013486
50 	2015-04-20 21:04:03.200484 	2015-04-20 21:04:03.212954 	8 	0:00:00.012470
51 	2015-04-20 21:04:03.223631 	2015-04-20 21:04:03.236285 	0 	0:00:00.012654
52 	2015-04-20 21:04:03.248637 	2015-04-20 21:04:03.259135 	9 	0:00:00.010498
53 	2015-04-20 21:04:03.270029 	2015-04-20 21:04:03.283726 	0 	0:00:00.013697
54 	2015-04-20 21:04:03.294663 	2015-04-20 21:04:03.306710 	4 	0:00:00.012047
55 	2015-04-20 21:04:03.319408 	2015-04-20 21:04:03.329626 	5 	0:00:00.010218
56 	2015-04-20 21:04:03.341182 	2015-04-20 21:04:03.353382 	0 	0:00:00.012200
57 	2015-04-20 21:04:03.363586 	2015-04-20 21:04:03.379282 	4 	0:00:00.015696
58 	2015-04-20 21:04:03.397079 	2015-04-20 21:04:03.402961 	8 	0:00:00.005882
59 	2015-04-20 21:04:03.413510 	2015-04-20 21:04:03.427799 	5 	0:00:00.014289
60 	2015-04-20 21:04:03.438549 	2015-04-20 21:04:03.450153 	0 	0:00:00.011604
61 	2015-04-20 21:04:03.461144 	2015-04-20 21:04:03.478386 	2 	0:00:00.017242
62 	2015-04-20 21:04:03.490276 	2015-04-20 21:04:03.500431 	4 	0:00:00.010155
63 	2015-04-20 21:04:03.510984 	2015-04-20 21:04:03.524907 	7 	0:00:00.013923
64 	2015-04-20 21:04:03.536580 	2015-04-20 21:04:03.547893 	8 	0:00:00.011313
65 	2015-04-20 21:04:03.558212 	2015-04-20 21:04:03.573389 	0 	0:00:00.015177
66 	2015-04-20 21:04:03.583845 	2015-04-20 21:04:03.596175 	5 	0:00:00.012330
67 	2015-04-20 21:04:03.608447 	2015-04-20 21:04:03.621380 	3 	0:00:00.012933
68 	2015-04-20 21:04:03.635199 	2015-04-20 21:04:03.643751 	9 	0:00:00.008552
69 	2015-04-20 21:04:03.656084 	2015-04-20 21:04:03.669152 	7 	0:00:00.013068
70 	2015-04-20 21:04:03.680972 	2015-04-20 21:04:03.691671 	2 	0:00:00.010699
71 	2015-04-20 21:04:03.704040 	2015-04-20 21:04:03.715552 	4 	0:00:00.011512
72 	2015-04-20 21:04:03.726094 	2015-04-20 21:04:03.738619 	0 	0:00:00.012525
73 	2015-04-20 21:04:03.751048 	2015-04-20 21:04:03.761553 	4 	0:00:00.010505
74 	2015-04-20 21:04:03.773481 	2015-04-20 21:04:03.786189 	6 	0:00:00.012708
75 	2015-04-20 21:04:03.798215 	2015-04-20 21:04:03.808942 	0 	0:00:00.010727
