Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-04 15:52:53.871674 	2015-04-04 15:52:53.875230 	7 	0:00:00.003556
2 	2015-04-04 15:52:53.885628 	2015-04-04 15:52:53.889167 	8 	0:00:00.003539
3 	2015-04-04 15:52:53.901097 	2015-04-04 15:52:53.904629 	0 	0:00:00.003532
4 	2015-04-04 15:52:53.916132 	2015-04-04 15:52:53.919893 	9 	0:00:00.003761
5 	2015-04-04 15:52:53.931167 	2015-04-04 15:52:53.934571 	6 	0:00:00.003404
6 	2015-04-04 15:52:53.946132 	2015-04-04 15:52:53.949649 	3 	0:00:00.003517
7 	2015-04-04 15:52:53.960742 	2015-04-04 15:52:53.964267 	8 	0:00:00.003525
8 	2015-04-04 15:52:53.975154 	2015-04-04 15:52:53.978601 	2 	0:00:00.003447
9 	2015-04-04 15:52:53.989682 	2015-04-04 15:52:53.993205 	1 	0:00:00.003523
10 	2015-04-04 15:52:54.003624 	2015-04-04 15:52:54.007101 	0 	0:00:00.003477
11 	2015-04-04 15:52:54.019669 	2015-04-04 15:52:54.023084 	7 	0:00:00.003415
12 	2015-04-04 15:52:54.034912 	2015-04-04 15:52:54.038367 	3 	0:00:00.003455
13 	2015-04-04 15:52:54.049289 	2015-04-04 15:52:54.052830 	6 	0:00:00.003541
14 	2015-04-04 15:52:54.064596 	2015-04-04 15:52:54.067920 	2 	0:00:00.003324
15 	2015-04-04 15:52:54.078817 	2015-04-04 15:52:54.082361 	9 	0:00:00.003544
16 	2015-04-04 15:52:54.094689 	2015-04-04 15:52:54.098106 	1 	0:00:00.003417
17 	2015-04-04 15:52:54.109314 	2015-04-04 15:52:54.114012 	9 	0:00:00.004698
18 	2015-04-04 15:52:54.124678 	2015-04-04 15:52:54.128089 	3 	0:00:00.003411
19 	2015-04-04 15:52:54.139644 	2015-04-04 15:52:54.143148 	9 	0:00:00.003504
20 	2015-04-04 15:52:54.154642 	2015-04-04 15:52:54.158070 	6 	0:00:00.003428
21 	2015-04-04 15:52:54.169637 	2015-04-04 15:52:54.173149 	2 	0:00:00.003512
22 	2015-04-04 15:52:54.184637 	2015-04-04 15:52:54.188079 	8 	0:00:00.003442
23 	2015-04-04 15:52:54.199606 	2015-04-04 15:52:54.203291 	4 	0:00:00.003685
24 	2015-04-04 15:52:54.214633 	2015-04-04 15:52:54.218081 	6 	0:00:00.003448
25 	2015-04-04 15:52:54.229605 	2015-04-04 15:52:54.233143 	5 	0:00:00.003538
26 	2015-04-04 15:52:54.244620 	2015-04-04 15:52:54.248077 	4 	0:00:00.003457
27 	2015-04-04 15:52:54.259674 	2015-04-04 15:52:54.263155 	6 	0:00:00.003481
28 	2015-04-04 15:52:54.274630 	2015-04-04 15:52:54.278081 	5 	0:00:00.003451
29 	2015-04-04 15:52:54.289642 	2015-04-04 15:52:54.293644 	6 	0:00:00.004002
30 	2015-04-04 15:52:54.304654 	2015-04-04 15:52:54.308101 	0 	0:00:00.003447
31 	2015-04-04 15:52:54.319626 	2015-04-04 15:52:54.322972 	9 	0:00:00.003346
32 	2015-04-04 15:52:54.334626 	2015-04-04 15:52:54.337953 	6 	0:00:00.003327
33 	2015-04-04 15:52:54.349584 	2015-04-04 15:52:54.353067 	0 	0:00:00.003483
34 	2015-04-04 15:52:54.364642 	2015-04-04 15:52:54.368057 	1 	0:00:00.003415
35 	2015-04-04 15:52:54.379591 	2015-04-04 15:52:54.382913 	0 	0:00:00.003322
36 	2015-04-04 15:52:54.394729 	2015-04-04 15:52:54.398259 	2 	0:00:00.003530
37 	2015-04-04 15:52:54.409618 	2015-04-04 15:52:54.413111 	0 	0:00:00.003493
38 	2015-04-04 15:52:54.423681 	2015-04-04 15:52:54.427171 	3 	0:00:00.003490
39 	2015-04-04 15:52:54.439674 	2015-04-04 15:52:54.443143 	1 	0:00:00.003469
40 	2015-04-04 15:52:54.454631 	2015-04-04 15:52:54.458211 	0 	0:00:00.003580
41 	2015-04-04 15:52:54.469797 	2015-04-04 15:52:54.473526 	7 	0:00:00.003729
42 	2015-04-04 15:52:54.484624 	2015-04-04 15:52:54.488143 	3 	0:00:00.003519
43 	2015-04-04 15:52:54.499646 	2015-04-04 15:52:54.503195 	9 	0:00:00.003549
44 	2015-04-04 15:52:54.514638 	2015-04-04 15:52:54.518181 	8 	0:00:00.003543
45 	2015-04-04 15:52:54.529671 	2015-04-04 15:52:54.533162 	9 	0:00:00.003491
46 	2015-04-04 15:52:54.544641 	2015-04-04 15:52:54.548223 	3 	0:00:00.003582
47 	2015-04-04 15:52:54.559678 	2015-04-04 15:52:54.563121 	0 	0:00:00.003443
48 	2015-04-04 15:52:54.574650 	2015-04-04 15:52:54.578256 	5 	0:00:00.003606
49 	2015-04-04 15:52:54.589673 	2015-04-04 15:52:54.593272 	2 	0:00:00.003599
50 	2015-04-04 15:52:54.604650 	2015-04-04 15:52:54.608131 	0 	0:00:00.003481
51 	2015-04-04 15:52:54.619744 	2015-04-04 15:52:54.623263 	8 	0:00:00.003519
52 	2015-04-04 15:52:54.634622 	2015-04-04 15:52:54.638024 	1 	0:00:00.003402
53 	2015-04-04 15:52:54.649678 	2015-04-04 15:52:54.653258 	4 	0:00:00.003580
54 	2015-04-04 15:52:54.667127 	2015-04-04 15:52:54.670804 	6 	0:00:00.003677
55 	2015-04-04 15:52:54.682119 	2015-04-04 15:52:54.685621 	0 	0:00:00.003502
56 	2015-04-04 15:52:54.697129 	2015-04-04 15:52:54.700425 	7 	0:00:00.003296
57 	2015-04-04 15:52:54.712140 	2015-04-04 15:52:54.715646 	6 	0:00:00.003506
58 	2015-04-04 15:52:54.727160 	2015-04-04 15:52:54.730654 	1 	0:00:00.003494
59 	2015-04-04 15:52:54.742213 	2015-04-04 15:52:54.745627 	8 	0:00:00.003414
60 	2015-04-04 15:52:54.757197 	2015-04-04 15:52:54.760822 	4 	0:00:00.003625
61 	2015-04-04 15:52:54.772176 	2015-04-04 15:52:54.775624 	9 	0:00:00.003448
62 	2015-04-04 15:52:54.787230 	2015-04-04 15:52:54.791240 	5 	0:00:00.004010
63 	2015-04-04 15:52:54.801828 	2015-04-04 15:52:54.805334 	4 	0:00:00.003506
64 	2015-04-04 15:52:54.817128 	2015-04-04 15:52:54.820712 	6 	0:00:00.003584
65 	2015-04-04 15:52:54.832177 	2015-04-04 15:52:54.835678 	7 	0:00:00.003501
66 	2015-04-04 15:52:54.847157 	2015-04-04 15:52:54.850555 	8 	0:00:00.003398
67 	2015-04-04 15:52:54.862107 	2015-04-04 15:52:54.865591 	2 	0:00:00.003484
68 	2015-04-04 15:52:54.877171 	2015-04-04 15:52:54.880566 	9 	0:00:00.003395
69 	2015-04-04 15:52:54.892137 	2015-04-04 15:52:54.895661 	7 	0:00:00.003524
70 	2015-04-04 15:52:54.907168 	2015-04-04 15:52:54.910619 	1 	0:00:00.003451
71 	2015-04-04 15:52:54.922135 	2015-04-04 15:52:54.926129 	9 	0:00:00.003994
72 	2015-04-04 15:52:54.937217 	2015-04-04 15:52:54.940830 	5 	0:00:00.003613
73 	2015-04-04 15:52:54.952121 	2015-04-04 15:52:54.956058 	3 	0:00:00.003937
