Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-15 02:54:35.099942 	2015-04-15 02:54:35.104430 	2 	0:00:00.004488
2 	2015-04-15 02:54:35.114745 	2015-04-15 02:54:35.119562 	7 	0:00:00.004817
3 	2015-04-15 02:54:35.132242 	2015-04-15 02:54:35.137345 	2 	0:00:00.005103
4 	2015-04-15 02:54:35.149706 	2015-04-15 02:54:35.154959 	1 	0:00:00.005253
5 	2015-04-15 02:54:35.167268 	2015-04-15 02:54:35.172573 	7 	0:00:00.005305
6 	2015-04-15 02:54:35.184727 	2015-04-15 02:54:35.200835 	3 	0:00:00.016108
7 	2015-04-15 02:54:35.212210 	2015-04-15 02:54:35.217347 	6 	0:00:00.005137
8 	2015-04-15 02:54:35.229747 	2015-04-15 02:54:35.234562 	4 	0:00:00.004815
9 	2015-04-15 02:54:35.247918 	2015-04-15 02:54:35.253333 	6 	0:00:00.005415
10 	2015-04-15 02:54:35.264763 	2015-04-15 02:54:35.269669 	9 	0:00:00.004906
11 	2015-04-15 02:54:35.280617 	2015-04-15 02:54:35.285925 	4 	0:00:00.005308
12 	2015-04-15 02:54:35.297260 	2015-04-15 02:54:35.302171 	5 	0:00:00.004911
13 	2015-04-15 02:54:35.313039 	2015-04-15 02:54:35.318339 	4 	0:00:00.005300
14 	2015-04-15 02:54:35.329740 	2015-04-15 02:54:35.334667 	1 	0:00:00.004927
15 	2015-04-15 02:54:35.346030 	2015-04-15 02:54:35.353745 	8 	0:00:00.007715
16 	2015-04-15 02:54:35.364791 	2015-04-15 02:54:35.369817 	6 	0:00:00.005026
17 	2015-04-15 02:54:35.380124 	2015-04-15 02:54:35.385721 	9 	0:00:00.005597
18 	2015-04-15 02:54:35.397244 	2015-04-15 02:54:35.402555 	7 	0:00:00.005311
19 	2015-04-15 02:54:35.412797 	2015-04-15 02:54:35.418511 	4 	0:00:00.005714
20 	2015-04-15 02:54:35.429728 	2015-04-15 02:54:35.434823 	5 	0:00:00.005095
21 	2015-04-15 02:54:35.445321 	2015-04-15 02:54:35.451088 	3 	0:00:00.005767
22 	2015-04-15 02:54:35.462249 	2015-04-15 02:54:35.467187 	1 	0:00:00.004938
23 	2015-04-15 02:54:35.477383 	2015-04-15 02:54:35.483406 	7 	0:00:00.006023
24 	2015-04-15 02:54:35.494718 	2015-04-15 02:54:35.499796 	8 	0:00:00.005078
25 	2015-04-15 02:54:35.510469 	2015-04-15 02:54:35.515864 	7 	0:00:00.005395
26 	2015-04-15 02:54:35.527240 	2015-04-15 02:54:35.532326 	9 	0:00:00.005086
27 	2015-04-15 02:54:35.542685 	2015-04-15 02:54:35.549497 	4 	0:00:00.006812
28 	2015-04-15 02:54:35.559731 	2015-04-15 02:54:35.564710 	6 	0:00:00.004979
29 	2015-04-15 02:54:35.574946 	2015-04-15 02:54:35.580375 	2 	0:00:00.005429
30 	2015-04-15 02:54:35.592196 	2015-04-15 02:54:35.597093 	6 	0:00:00.004897
31 	2015-04-15 02:54:35.607971 	2015-04-15 02:54:35.613716 	4 	0:00:00.005745
32 	2015-04-15 02:54:35.624743 	2015-04-15 02:54:35.629652 	2 	0:00:00.004909
33 	2015-04-15 02:54:35.640950 	2015-04-15 02:54:35.646305 	4 	0:00:00.005355
34 	2015-04-15 02:54:35.657329 	2015-04-15 02:54:35.662296 	9 	0:00:00.004967
35 	2015-04-15 02:54:35.673174 	2015-04-15 02:54:35.679003 	5 	0:00:00.005829
36 	2015-04-15 02:54:35.689742 	2015-04-15 02:54:35.694791 	0 	0:00:00.005049
37 	2015-04-15 02:54:35.705568 	2015-04-15 02:54:35.710934 	9 	0:00:00.005366
38 	2015-04-15 02:54:35.722228 	2015-04-15 02:54:35.727210 	8 	0:00:00.004982
39 	2015-04-15 02:54:35.737978 	2015-04-15 02:54:35.743348 	7 	0:00:00.005370
