Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-15 02:44:33.755378 	2015-04-15 02:44:33.759517 	1 	0:00:00.004139
2 	2015-04-15 02:44:33.772010 	2015-04-15 02:44:33.782547 	8 	0:00:00.010537
3 	2015-04-15 02:44:33.794622 	2015-04-15 02:44:33.798956 	9 	0:00:00.004334
4 	2015-04-15 02:44:33.809591 	2015-04-15 02:44:33.815998 	7 	0:00:00.006407
5 	2015-04-15 02:44:33.827051 	2015-04-15 02:44:33.831263 	5 	0:00:00.004212
6 	2015-04-15 02:44:33.841485 	2015-04-15 02:44:33.845719 	1 	0:00:00.004234
7 	2015-04-15 02:44:33.857110 	2015-04-15 02:44:33.872881 	6 	0:00:00.015771
8 	2015-04-15 02:44:33.884601 	2015-04-15 02:44:33.889010 	9 	0:00:00.004409
9 	2015-04-15 02:44:33.899548 	2015-04-15 02:44:33.904942 	2 	0:00:00.005394
10 	2015-04-15 02:44:33.917091 	2015-04-15 02:44:33.921348 	6 	0:00:00.004257
11 	2015-04-15 02:44:33.932050 	2015-04-15 02:44:33.936427 	3 	0:00:00.004377
12 	2015-04-15 02:44:33.947052 	2015-04-15 02:44:33.951993 	1 	0:00:00.004941
13 	2015-04-15 02:44:33.964575 	2015-04-15 02:44:33.969024 	5 	0:00:00.004449
14 	2015-04-15 02:44:33.979498 	2015-04-15 02:44:33.989297 	7 	0:00:00.009799
15 	2015-04-15 02:44:33.999591 	2015-04-15 02:44:34.004329 	1 	0:00:00.004738
16 	2015-04-15 02:44:34.017077 	2015-04-15 02:44:34.021314 	8 	0:00:00.004237
17 	2015-04-15 02:44:34.032036 	2015-04-15 02:44:34.038820 	5 	0:00:00.006784
18 	2015-04-15 02:44:34.049558 	2015-04-15 02:44:34.053775 	1 	0:00:00.004217
19 	2015-04-15 02:44:34.064540 	2015-04-15 02:44:34.071991 	0 	0:00:00.007451
20 	2015-04-15 02:44:34.083712 	2015-04-15 02:44:34.088007 	8 	0:00:00.004295
21 	2015-04-15 02:44:34.098956 	2015-04-15 02:44:34.103432 	2 	0:00:00.004476
22 	2015-04-15 02:44:34.114600 	2015-04-15 02:44:34.119073 	4 	0:00:00.004473
23 	2015-04-15 02:44:34.129593 	2015-04-15 02:44:34.133986 	5 	0:00:00.004393
24 	2015-04-15 02:44:34.144576 	2015-04-15 02:44:34.148848 	1 	0:00:00.004272
25 	2015-04-15 02:44:34.159593 	2015-04-15 02:44:34.164893 	0 	0:00:00.005300
26 	2015-04-15 02:44:34.177132 	2015-04-15 02:44:34.181528 	9 	0:00:00.004396
27 	2015-04-15 02:44:34.192073 	2015-04-15 02:44:34.200669 	0 	0:00:00.008596
28 	2015-04-15 02:44:34.217084 	2015-04-15 02:44:34.221431 	5 	0:00:00.004347
29 	2015-04-15 02:44:34.232115 	2015-04-15 02:44:34.236553 	3 	0:00:00.004438
30 	2015-04-15 02:44:34.247030 	2015-04-15 02:44:34.251224 	8 	0:00:00.004194
31 	2015-04-15 02:44:34.261740 	2015-04-15 02:44:34.265920 	3 	0:00:00.004180
32 	2015-04-15 02:44:34.277039 	2015-04-15 02:44:34.281365 	9 	0:00:00.004326
33 	2015-04-15 02:44:34.292045 	2015-04-15 02:44:34.308408 	3 	0:00:00.016363
34 	2015-04-15 02:44:34.319693 	2015-04-15 02:44:34.324033 	5 	0:00:00.004340
35 	2015-04-15 02:44:34.334575 	2015-04-15 02:44:34.338903 	1 	0:00:00.004328
36 	2015-04-15 02:44:34.349542 	2015-04-15 02:44:34.353679 	0 	0:00:00.004137
37 	2015-04-15 02:44:34.364535 	2015-04-15 02:44:34.368634 	6 	0:00:00.004099
38 	2015-04-15 02:44:34.379641 	2015-04-15 02:44:34.402474 	2 	0:00:00.022833
39 	2015-04-15 02:44:34.414526 	2015-04-15 02:44:34.418812 	8 	0:00:00.004286
40 	2015-04-15 02:44:34.429537 	2015-04-15 02:44:34.434950 	6 	0:00:00.005413
41 	2015-04-15 02:44:34.447101 	2015-04-15 02:44:34.451248 	7 	0:00:00.004147
42 	2015-04-15 02:44:34.462598 	2015-04-15 02:44:34.473057 	1 	0:00:00.010459
43 	2015-04-15 02:44:34.484528 	2015-04-15 02:44:34.488699 	7 	0:00:00.004171
44 	2015-04-15 02:44:34.499628 	2015-04-15 02:44:34.504185 	6 	0:00:00.004557
45 	2015-04-15 02:44:34.514522 	2015-04-15 02:44:34.518861 	9 	0:00:00.004339
46 	2015-04-15 02:44:34.529619 	2015-04-15 02:44:34.534316 	0 	0:00:00.004697
47 	2015-04-15 02:44:34.544530 	2015-04-15 02:44:34.548808 	3 	0:00:00.004278
48 	2015-04-15 02:44:34.559543 	2015-04-15 02:44:34.563755 	2 	0:00:00.004212
49 	2015-04-15 02:44:34.574549 	2015-04-15 02:44:34.579094 	4 	0:00:00.004545
50 	2015-04-15 02:44:34.589506 	2015-04-15 02:44:34.593792 	7 	0:00:00.004286
51 	2015-04-15 02:44:34.604581 	2015-04-15 02:44:34.608965 	3 	0:00:00.004384
52 	2015-04-15 02:44:34.619665 	2015-04-15 02:44:34.623881 	2 	0:00:00.004216
53 	2015-04-15 02:44:34.634570 	2015-04-15 02:44:34.646965 	1 	0:00:00.012395
54 	2015-04-15 02:44:34.657228 	2015-04-15 02:44:34.669064 	9 	0:00:00.011836
55 	2015-04-15 02:44:34.679544 	2015-04-15 02:44:34.683848 	0 	0:00:00.004304
56 	2015-04-15 02:44:34.696382 	2015-04-15 02:44:34.700950 	9 	0:00:00.004568
57 	2015-04-15 02:44:34.712009 	2015-04-15 02:44:34.716628 	4 	0:00:00.004619
58 	2015-04-15 02:44:34.727065 	2015-04-15 02:44:34.731265 	8 	0:00:00.004200
59 	2015-04-15 02:44:34.742058 	2015-04-15 02:44:34.746247 	3 	0:00:00.004189
60 	2015-04-15 02:44:34.757210 	2015-04-15 02:44:34.763550 	8 	0:00:00.006340
61 	2015-04-15 02:44:34.774542 	2015-04-15 02:44:34.778780 	3 	0:00:00.004238
62 	2015-04-15 02:44:34.789586 	2015-04-15 02:44:34.794653 	6 	0:00:00.005067
63 	2015-04-15 02:44:34.807010 	2015-04-15 02:44:34.811339 	5 	0:00:00.004329
64 	2015-04-15 02:44:34.822064 	2015-04-15 02:44:34.826667 	9 	0:00:00.004603
65 	2015-04-15 02:44:34.837050 	2015-04-15 02:44:34.842154 	8 	0:00:00.005104
66 	2015-04-15 02:44:34.853775 	2015-04-15 02:44:34.859785 	4 	0:00:00.006010
67 	2015-04-15 02:44:34.872059 	2015-04-15 02:44:34.877212 	8 	0:00:00.005153
68 	2015-04-15 02:44:34.889624 	2015-04-15 02:44:34.894598 	0 	0:00:00.004974
69 	2015-04-15 02:44:34.907008 	2015-04-15 02:44:34.911194 	1 	0:00:00.004186
70 	2015-04-15 02:44:34.921978 	2015-04-15 02:44:34.928028 	4 	0:00:00.006050
71 	2015-04-15 02:44:34.939540 	2015-04-15 02:44:34.944626 	7 	0:00:00.005086
72 	2015-04-15 02:44:34.957049 	2015-04-15 02:44:34.961665 	0 	0:00:00.004616
73 	2015-04-15 02:44:34.971970 	2015-04-15 02:44:34.977134 	6 	0:00:00.005164
74 	2015-04-15 02:44:34.988513 	2015-04-15 02:44:34.992854 	7 	0:00:00.004341
75 	2015-04-15 02:44:35.003424 	2015-04-15 02:44:35.009686 	6 	0:00:00.006262
76 	2015-04-15 02:44:35.020161 	2015-04-15 02:44:35.024596 	3 	0:00:00.004435
77 	2015-04-15 02:44:35.036896 	2015-04-15 02:44:35.041014 	0 	0:00:00.004118
78 	2015-04-15 02:44:35.052090 	2015-04-15 02:44:35.056990 	6 	0:00:00.004900
79 	2015-04-15 02:44:35.069480 	2015-04-15 02:44:35.073681 	2 	0:00:00.004201
80 	2015-04-15 02:44:35.084558 	2015-04-15 02:44:35.089010 	6 	0:00:00.004452
81 	2015-04-15 02:44:35.099674 	2015-04-15 02:44:35.103924 	0 	0:00:00.004250
82 	2015-04-15 02:44:35.114532 	2015-04-15 02:44:35.118870 	5 	0:00:00.004338
83 	2015-04-15 02:44:35.129500 	2015-04-15 02:44:35.133632 	8 	0:00:00.004132
84 	2015-04-15 02:44:35.144532 	2015-04-15 02:44:35.149710 	1 	0:00:00.005178
85 	2015-04-15 02:44:35.159961 	2015-04-15 02:44:35.164703 	7 	0:00:00.004742
86 	2015-04-15 02:44:35.177022 	2015-04-15 02:44:35.182115 	8 	0:00:00.005093
87 	2015-04-15 02:44:35.194484 	2015-04-15 02:44:35.198774 	2 	0:00:00.004290
88 	2015-04-15 02:44:35.213701 	2015-04-15 02:44:35.218801 	0 	0:00:00.005100
89 	2015-04-15 02:44:35.229508 	2015-04-15 02:44:35.233741 	7 	0:00:00.004233
90 	2015-04-15 02:44:35.244541 	2015-04-15 02:44:35.249186 	0 	0:00:00.004645
91 	2015-04-15 02:44:35.259487 	2015-04-15 02:44:35.263636 	7 	0:00:00.004149
92 	2015-04-15 02:44:35.274563 	2015-04-15 02:44:35.278906 	8 	0:00:00.004343
93 	2015-04-15 02:44:35.289504 	2015-04-15 02:44:35.293780 	3 	0:00:00.004276
94 	2015-04-15 02:44:35.304474 	2015-04-15 02:44:35.309424 	4 	0:00:00.004950
95 	2015-04-15 02:44:35.321972 	2015-04-15 02:44:35.326204 	7 	0:00:00.004232
96 	2015-04-15 02:44:35.336998 	2015-04-15 02:44:35.344003 	2 	0:00:00.007005
97 	2015-04-15 02:44:35.354692 	2015-04-15 02:44:35.359208 	4 	0:00:00.004516
98 	2015-04-15 02:44:35.369501 	2015-04-15 02:44:35.373846 	2 	0:00:00.004345
99 	2015-04-15 02:44:35.384527 	2015-04-15 02:44:35.388810 	6 	0:00:00.004283
100 	2015-04-15 02:44:35.399453 	2015-04-15 02:44:35.403789 	5 	0:00:00.004336
101 	2015-04-15 02:44:35.414564 	2015-04-15 02:44:35.418952 	8 	0:00:00.004388
102 	2015-04-15 02:44:35.429521 	2015-04-15 02:44:35.433687 	2 	0:00:00.004166
103 	2015-04-15 02:44:35.444524 	2015-04-15 02:44:35.448978 	6 	0:00:00.004454
104 	2015-04-15 02:44:35.459531 	2015-04-15 02:44:35.464411 	4 	0:00:00.004880
105 	2015-04-15 02:44:35.476948 	2015-04-15 02:44:35.481169 	6 	0:00:00.004221
106 	2015-04-15 02:44:35.492025 	2015-04-15 02:44:35.505490 	9 	0:00:00.013465
107 	2015-04-15 02:44:35.516984 	2015-04-15 02:44:35.521881 	1 	0:00:00.004897
108 	2015-04-15 02:44:35.532571 	2015-04-15 02:44:35.536789 	6 	0:00:00.004218
109 	2015-04-15 02:44:35.549469 	2015-04-15 02:44:35.553962 	8 	0:00:00.004493
110 	2015-04-15 02:44:35.564536 	2015-04-15 02:44:35.568854 	2 	0:00:00.004318
111 	2015-04-15 02:44:35.579466 	2015-04-15 02:44:35.583644 	3 	0:00:00.004178
112 	2015-04-15 02:44:35.594380 	2015-04-15 02:44:35.600462 	9 	0:00:00.006082
113 	2015-04-15 02:44:35.612005 	2015-04-15 02:44:35.616229 	8 	0:00:00.004224
114 	2015-04-15 02:44:35.626937 	2015-04-15 02:44:35.631392 	0 	0:00:00.004455
115 	2015-04-15 02:44:35.642011 	2015-04-15 02:44:35.646831 	8 	0:00:00.004820
116 	2015-04-15 02:44:35.657878 	2015-04-15 02:44:35.662292 	0 	0:00:00.004414
117 	2015-04-15 02:44:35.674525 	2015-04-15 02:44:35.679250 	6 	0:00:00.004725
118 	2015-04-15 02:44:35.689541 	2015-04-15 02:44:35.693804 	0 	0:00:00.004263
119 	2015-04-15 02:44:35.704465 	2015-04-15 02:44:35.708562 	5 	0:00:00.004097
120 	2015-04-15 02:44:35.719501 	2015-04-15 02:44:35.723598 	7 	0:00:00.004097
121 	2015-04-15 02:44:35.734524 	2015-04-15 02:44:35.739285 	1 	0:00:00.004761
122 	2015-04-15 02:44:35.751981 	2015-04-15 02:44:35.756306 	4 	0:00:00.004325
123 	2015-04-15 02:44:35.767011 	2015-04-15 02:44:35.771863 	2 	0:00:00.004852
124 	2015-04-15 02:44:35.784459 	2015-04-15 02:44:35.789102 	1 	0:00:00.004643
125 	2015-04-15 02:44:35.799499 	2015-04-15 02:44:35.804085 	8 	0:00:00.004586
126 	2015-04-15 02:44:35.816955 	2015-04-15 02:44:35.822276 	0 	0:00:00.005321
127 	2015-04-15 02:44:35.834447 	2015-04-15 02:44:35.839221 	3 	0:00:00.004774
128 	2015-04-15 02:44:35.849442 	2015-04-15 02:44:35.853749 	9 	0:00:00.004307
129 	2015-04-15 02:44:35.864476 	2015-04-15 02:44:35.868726 	3 	0:00:00.004250
130 	2015-04-15 02:44:35.879470 	2015-04-15 02:44:35.883791 	5 	0:00:00.004321
131 	2015-04-15 02:44:35.899571 	2015-04-15 02:44:35.904189 	4 	0:00:00.004618
132 	2015-04-15 02:44:35.914452 	2015-04-15 02:44:35.919039 	2 	0:00:00.004587
133 	2015-04-15 02:44:35.929473 	2015-04-15 02:44:35.934112 	5 	0:00:00.004639
134 	2015-04-15 02:44:35.944561 	2015-04-15 02:44:35.948893 	9 	0:00:00.004332
135 	2015-04-15 02:44:35.959546 	2015-04-15 02:44:35.963826 	4 	0:00:00.004280
136 	2015-04-15 02:44:35.974465 	2015-04-15 02:44:35.980867 	7 	0:00:00.006402
137 	2015-04-15 02:44:35.992009 	2015-04-15 02:44:35.996207 	1 	0:00:00.004198
138 	2015-04-15 02:44:36.007059 	2015-04-15 02:44:36.011253 	9 	0:00:00.004194
139 	2015-04-15 02:44:36.022000 	2015-04-15 02:44:36.026816 	7 	0:00:00.004816
140 	2015-04-15 02:44:36.036987 	2015-04-15 02:44:36.041266 	1 	0:00:00.004279
141 	2015-04-15 02:44:36.052030 	2015-04-15 02:44:36.057422 	2 	0:00:00.005392
142 	2015-04-15 02:44:36.069504 	2015-04-15 02:44:36.073867 	1 	0:00:00.004363
143 	2015-04-15 02:44:36.084466 	2015-04-15 02:44:36.088532 	0 	0:00:00.004066
144 	2015-04-15 02:44:36.099455 	2015-04-15 02:44:36.104085 	4 	0:00:00.004630
145 	2015-04-15 02:44:36.114468 	2015-04-15 02:44:36.118795 	6 	0:00:00.004327
146 	2015-04-15 02:44:36.129493 	2015-04-15 02:44:36.134290 	7 	0:00:00.004797
147 	2015-04-15 02:44:36.146995 	2015-04-15 02:44:36.151254 	2 	0:00:00.004259
148 	2015-04-15 02:44:36.161964 	2015-04-15 02:44:36.167149 	6 	0:00:00.005185
149 	2015-04-15 02:44:36.179498 	2015-04-15 02:44:36.183673 	8 	0:00:00.004175
150 	2015-04-15 02:44:36.194406 	2015-04-15 02:44:36.198932 	5 	0:00:00.004526
151 	2015-04-15 02:44:36.209445 	2015-04-15 02:44:36.213705 	4 	0:00:00.004260
152 	2015-04-15 02:44:36.224478 	2015-04-15 02:44:36.228958 	9 	0:00:00.004480
153 	2015-04-15 02:44:36.239555 	2015-04-15 02:44:36.243800 	7 	0:00:00.004245
154 	2015-04-15 02:44:36.254452 	2015-04-15 02:44:36.258705 	2 	0:00:00.004253
155 	2015-04-15 02:44:36.269505 	2015-04-15 02:44:36.273810 	9 	0:00:00.004305
156 	2015-04-15 02:44:36.284469 	2015-04-15 02:44:36.289224 	2 	0:00:00.004755
157 	2015-04-15 02:44:36.299511 	2015-04-15 02:44:36.303668 	3 	0:00:00.004157
158 	2015-04-15 02:44:36.314488 	2015-04-15 02:44:36.318875 	1 	0:00:00.004387
159 	2015-04-15 02:44:36.329517 	2015-04-15 02:44:36.333802 	8 	0:00:00.004285
160 	2015-04-15 02:44:36.344535 	2015-04-15 02:44:36.348825 	7 	0:00:00.004290
161 	2015-04-15 02:44:36.359540 	2015-04-15 02:44:36.363847 	0 	0:00:00.004307
162 	2015-04-15 02:44:36.374516 	2015-04-15 02:44:36.378835 	5 	0:00:00.004319
163 	2015-04-15 02:44:36.390815 	2015-04-15 02:44:36.395240 	2 	0:00:00.004425
164 	2015-04-15 02:44:36.407015 	2015-04-15 02:44:36.411976 	8 	0:00:00.004961
165 	2015-04-15 02:44:36.424554 	2015-04-15 02:44:36.428726 	7 	0:00:00.004172
166 	2015-04-15 02:44:36.439459 	2015-04-15 02:44:36.443993 	1 	0:00:00.004534
167 	2015-04-15 02:44:36.454495 	2015-04-15 02:44:36.458769 	2 	0:00:00.004274
168 	2015-04-15 02:44:36.469452 	2015-04-15 02:44:36.473755 	4 	0:00:00.004303
169 	2015-04-15 02:44:36.484553 	2015-04-15 02:44:36.489077 	9 	0:00:00.004524
170 	2015-04-15 02:44:36.499457 	2015-04-15 02:44:36.503529 	2 	0:00:00.004072
171 	2015-04-15 02:44:36.514066 	2015-04-15 02:44:36.519672 	4 	0:00:00.005606
