Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-02 09:14:38.489003 	2015-04-02 09:14:38.522701 	1 	0:00:00.033698
2 	2015-04-02 09:14:38.533710 	2015-04-02 09:14:38.539088 	4 	0:00:00.005378
3 	2015-04-02 09:14:38.549287 	2015-04-02 09:14:38.554574 	2 	0:00:00.005287
4 	2015-04-02 09:14:38.566207 	2015-04-02 09:14:38.572035 	4 	0:00:00.005828
5 	2015-04-02 09:14:38.583664 	2015-04-02 09:14:38.588809 	5 	0:00:00.005145
6 	2015-04-02 09:14:38.601302 	2015-04-02 09:14:38.606473 	6 	0:00:00.005171
7 	2015-04-02 09:14:38.616779 	2015-04-02 09:14:38.622443 	1 	0:00:00.005664
8 	2015-04-02 09:14:38.633776 	2015-04-02 09:14:38.640013 	0 	0:00:00.006237
9 	2015-04-02 09:14:38.651276 	2015-04-02 09:14:38.658769 	8 	0:00:00.007493
10 	2015-04-02 09:14:38.671298 	2015-04-02 09:14:38.679275 	6 	0:00:00.007977
11 	2015-04-02 09:14:38.691227 	2015-04-02 09:14:38.696965 	4 	0:00:00.005738
12 	2015-04-02 09:14:38.708537 	2015-04-02 09:14:38.714088 	1 	0:00:00.005551
13 	2015-04-02 09:14:38.726314 	2015-04-02 09:14:38.732238 	9 	0:00:00.005924
14 	2015-04-02 09:14:38.743629 	2015-04-02 09:14:38.749427 	3 	0:00:00.005798
15 	2015-04-02 09:14:38.761283 	2015-04-02 09:14:38.767332 	9 	0:00:00.006049
16 	2015-04-02 09:14:38.777617 	2015-04-02 09:14:38.783736 	5 	0:00:00.006119
17 	2015-04-02 09:14:38.796276 	2015-04-02 09:14:38.802114 	3 	0:00:00.005838
18 	2015-04-02 09:14:38.813179 	2015-04-02 09:14:38.818946 	8 	0:00:00.005767
19 	2015-04-02 09:14:38.831310 	2015-04-02 09:14:38.836999 	3 	0:00:00.005689
20 	2015-04-02 09:14:38.848718 	2015-04-02 09:14:38.854711 	1 	0:00:00.005993
21 	2015-04-02 09:14:38.866421 	2015-04-02 09:14:38.871971 	5 	0:00:00.005550
22 	2015-04-02 09:14:38.883780 	2015-04-02 09:14:38.889498 	4 	0:00:00.005718
23 	2015-04-02 09:14:38.900546 	2015-04-02 09:14:38.905968 	9 	0:00:00.005422
24 	2015-04-02 09:14:38.918824 	2015-04-02 09:14:38.925217 	8 	0:00:00.006393
25 	2015-04-02 09:14:38.935761 	2015-04-02 09:14:38.942377 	0 	0:00:00.006616
26 	2015-04-02 09:14:38.953876 	2015-04-02 09:14:38.959852 	6 	0:00:00.005976
27 	2015-04-02 09:14:38.971193 	2015-04-02 09:14:38.976596 	7 	0:00:00.005403
28 	2015-04-02 09:14:38.988768 	2015-04-02 09:14:38.994723 	5 	0:00:00.005955
29 	2015-04-02 09:14:39.005423 	2015-04-02 09:14:39.011016 	7 	0:00:00.005593
30 	2015-04-02 09:14:39.024221 	2015-04-02 09:14:39.030468 	4 	0:00:00.006247
31 	2015-04-02 09:14:39.041507 	2015-04-02 09:14:39.052771 	2 	0:00:00.011264
32 	2015-04-02 09:14:39.063321 	2015-04-02 09:14:39.069066 	1 	0:00:00.005745
33 	2015-04-02 09:14:39.081371 	2015-04-02 09:14:39.087121 	9 	0:00:00.005750
34 	2015-04-02 09:14:39.098753 	2015-04-02 09:14:39.104598 	8 	0:00:00.005845
35 	2015-04-02 09:14:39.116110 	2015-04-02 09:14:39.121817 	2 	0:00:00.005707
36 	2015-04-02 09:14:39.132896 	2015-04-02 09:14:39.139088 	0 	0:00:00.006192
37 	2015-04-02 09:14:39.151289 	2015-04-02 09:14:39.156923 	9 	0:00:00.005634
38 	2015-04-02 09:14:39.168755 	2015-04-02 09:14:39.174703 	6 	0:00:00.005948
39 	2015-04-02 09:14:39.186431 	2015-04-02 09:14:39.192859 	2 	0:00:00.006428
40 	2015-04-02 09:14:39.203766 	2015-04-02 09:14:39.209610 	1 	0:00:00.005844
41 	2015-04-02 09:14:39.220470 	2015-04-02 09:14:39.226023 	8 	0:00:00.005553
42 	2015-04-02 09:14:39.238761 	2015-04-02 09:14:39.244751 	4 	0:00:00.005990
