Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-04 14:17:33.880585 	2015-04-04 14:17:33.885462 	1 	0:00:00.004877
2 	2015-04-04 14:17:33.898587 	2015-04-04 14:17:33.905861 	2 	0:00:00.007274
3 	2015-04-04 14:17:33.917642 	2015-04-04 14:17:33.923132 	3 	0:00:00.005490
4 	2015-04-04 14:17:33.933744 	2015-04-04 14:17:33.938787 	7 	0:00:00.005043
5 	2015-04-04 14:17:33.949146 	2015-04-04 14:17:33.954485 	6 	0:00:00.005339
6 	2015-04-04 14:17:33.965929 	2015-04-04 14:17:33.971098 	2 	0:00:00.005169
7 	2015-04-04 14:17:33.981709 	2015-04-04 14:17:33.987256 	1 	0:00:00.005547
8 	2015-04-04 14:17:33.998184 	2015-04-04 14:17:34.003302 	3 	0:00:00.005118
9 	2015-04-04 14:17:34.014208 	2015-04-04 14:17:34.022331 	1 	0:00:00.008123
10 	2015-04-04 14:17:34.034172 	2015-04-04 14:17:34.039102 	5 	0:00:00.004930
11 	2015-04-04 14:17:34.051627 	2015-04-04 14:17:34.057172 	2 	0:00:00.005545
12 	2015-04-04 14:17:34.069221 	2015-04-04 14:17:34.074163 	8 	0:00:00.004942
13 	2015-04-04 14:17:34.086695 	2015-04-04 14:17:34.092240 	6 	0:00:00.005545
14 	2015-04-04 14:17:34.104184 	2015-04-04 14:17:34.109230 	4 	0:00:00.005046
15 	2015-04-04 14:17:34.121692 	2015-04-04 14:17:34.127665 	8 	0:00:00.005973
16 	2015-04-04 14:17:34.139171 	2015-04-04 14:17:34.144260 	7 	0:00:00.005089
17 	2015-04-04 14:17:34.156692 	2015-04-04 14:17:34.163645 	1 	0:00:00.006953
18 	2015-04-04 14:17:34.174221 	2015-04-04 14:17:34.179205 	7 	0:00:00.004984
19 	2015-04-04 14:17:34.189566 	2015-04-04 14:17:34.194729 	0 	0:00:00.005163
20 	2015-04-04 14:17:34.206709 	2015-04-04 14:17:34.211679 	8 	0:00:00.004970
21 	2015-04-04 14:17:34.222271 	2015-04-04 14:17:34.228508 	3 	0:00:00.006237
22 	2015-04-04 14:17:34.239221 	2015-04-04 14:17:34.244160 	8 	0:00:00.004939
23 	2015-04-04 14:17:34.256331 	2015-04-04 14:17:34.261523 	6 	0:00:00.005192
24 	2015-04-04 14:17:34.274135 	2015-04-04 14:17:34.278854 	5 	0:00:00.004719
25 	2015-04-04 14:17:34.289055 	2015-04-04 14:17:34.295004 	3 	0:00:00.005949
26 	2015-04-04 14:17:34.306636 	2015-04-04 14:17:34.311555 	0 	0:00:00.004919
27 	2015-04-04 14:17:34.324198 	2015-04-04 14:17:34.329258 	5 	0:00:00.005060
28 	2015-04-04 14:17:34.341719 	2015-04-04 14:17:34.346832 	1 	0:00:00.005113
29 	2015-04-04 14:17:34.359152 	2015-04-04 14:17:34.364362 	5 	0:00:00.005210
30 	2015-04-04 14:17:34.376651 	2015-04-04 14:17:34.381809 	7 	0:00:00.005158
31 	2015-04-04 14:17:34.394205 	2015-04-04 14:17:34.400096 	2 	0:00:00.005891
32 	2015-04-04 14:17:34.411704 	2015-04-04 14:17:34.417321 	7 	0:00:00.005617
33 	2015-04-04 14:17:34.429192 	2015-04-04 14:17:34.434465 	3 	0:00:00.005273
34 	2015-04-04 14:17:34.445111 	2015-04-04 14:17:34.450256 	4 	0:00:00.005145
35 	2015-04-04 14:17:34.461718 	2015-04-04 14:17:34.467223 	5 	0:00:00.005505
36 	2015-04-04 14:17:34.477802 	2015-04-04 14:17:34.483066 	6 	0:00:00.005264
37 	2015-04-04 14:17:34.494209 	2015-04-04 14:17:34.499653 	7 	0:00:00.005444
38 	2015-04-04 14:17:34.510103 	2015-04-04 14:17:34.515370 	8 	0:00:00.005267
39 	2015-04-04 14:17:34.526746 	2015-04-04 14:17:34.533511 	7 	0:00:00.006765
40 	2015-04-04 14:17:34.543791 	2015-04-04 14:17:34.549118 	6 	0:00:00.005327
41 	2015-04-04 14:17:34.561711 	2015-04-04 14:17:34.567166 	3 	0:00:00.005455
42 	2015-04-04 14:17:34.579223 	2015-04-04 14:17:34.584127 	8 	0:00:00.004904
43 	2015-04-04 14:17:34.596671 	2015-04-04 14:17:34.601704 	9 	0:00:00.005033
