Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-21 00:00:17.104429 	2015-04-21 00:00:17.121168 	5 	0:00:00.016739
2 	2015-04-21 00:00:17.121325 	2015-04-21 00:00:17.140166 	7 	0:00:00.018841
3 	2015-04-21 00:00:17.140272 	2015-04-21 00:00:17.158128 	9 	0:00:00.017856
4 	2015-04-21 00:00:17.158242 	2015-04-21 00:00:17.176136 	8 	0:00:00.017894
5 	2015-04-21 00:00:17.176241 	2015-04-21 00:00:17.194137 	0 	0:00:00.017896
6 	2015-04-21 00:00:17.194234 	2015-04-21 00:00:17.211101 	2 	0:00:00.016867
7 	2015-04-21 00:00:17.211206 	2015-04-21 00:00:17.228158 	4 	0:00:00.016952
8 	2015-04-21 00:00:17.228265 	2015-04-21 00:00:17.246163 	1 	0:00:00.017898
9 	2015-04-21 00:00:17.246267 	2015-04-21 00:00:17.263394 	9 	0:00:00.017127
10 	2015-04-21 00:00:17.263551 	2015-04-21 00:00:17.281134 	6 	0:00:00.017583
11 	2015-04-21 00:00:17.281249 	2015-04-21 00:00:17.298168 	3 	0:00:00.016919
12 	2015-04-21 00:00:17.298273 	2015-04-21 00:00:17.315161 	1 	0:00:00.016888
13 	2015-04-21 00:00:17.315264 	2015-04-21 00:00:17.333136 	5 	0:00:00.017872
14 	2015-04-21 00:00:17.333260 	2015-04-21 00:00:17.350177 	3 	0:00:00.016917
15 	2015-04-21 00:00:17.350281 	2015-04-21 00:00:17.368132 	0 	0:00:00.017851
16 	2015-04-21 00:00:17.368235 	2015-04-21 00:00:17.385182 	5 	0:00:00.016947
17 	2015-04-21 00:00:17.385300 	2015-04-21 00:00:17.402136 	3 	0:00:00.016836
18 	2015-04-21 00:00:17.402239 	2015-04-21 00:00:17.420166 	1 	0:00:00.017927
19 	2015-04-21 00:00:17.420270 	2015-04-21 00:00:17.437169 	5 	0:00:00.016899
20 	2015-04-21 00:00:17.437289 	2015-04-21 00:00:17.455157 	7 	0:00:00.017868
21 	2015-04-21 00:00:17.455262 	2015-04-21 00:00:17.472164 	4 	0:00:00.016902
22 	2015-04-21 00:00:17.472267 	2015-04-21 00:00:17.489095 	1 	0:00:00.016828
23 	2015-04-21 00:00:17.489216 	2015-04-21 00:00:17.511165 	7 	0:00:00.021949
24 	2015-04-21 00:00:17.511270 	2015-04-21 00:00:17.524177 	5 	0:00:00.012907
25 	2015-04-21 00:00:17.524280 	2015-04-21 00:00:17.542132 	7 	0:00:00.017852
26 	2015-04-21 00:00:17.542238 	2015-04-21 00:00:17.559167 	3 	0:00:00.016929
27 	2015-04-21 00:00:17.559270 	2015-04-21 00:00:17.578141 	8 	0:00:00.018871
28 	2015-04-21 00:00:17.578245 	2015-04-21 00:00:17.599204 	4 	0:00:00.020959
29 	2015-04-21 00:00:17.599309 	2015-04-21 00:00:17.617165 	5 	0:00:00.017856
30 	2015-04-21 00:00:17.617284 	2015-04-21 00:00:17.631115 	9 	0:00:00.013831
31 	2015-04-21 00:00:17.631219 	2015-04-21 00:00:17.650126 	1 	0:00:00.018907
32 	2015-04-21 00:00:17.650229 	2015-04-21 00:00:17.668157 	9 	0:00:00.017928
33 	2015-04-21 00:00:17.668261 	2015-04-21 00:00:17.685166 	0 	0:00:00.016905
34 	2015-04-21 00:00:17.685286 	2015-04-21 00:00:17.704165 	3 	0:00:00.018879
35 	2015-04-21 00:00:17.704269 	2015-04-21 00:00:17.722153 	4 	0:00:00.017884
36 	2015-04-21 00:00:17.722261 	2015-04-21 00:00:17.740164 	9 	0:00:00.017903
37 	2015-04-21 00:00:17.740268 	2015-04-21 00:00:17.757133 	5 	0:00:00.016865
38 	2015-04-21 00:00:17.757256 	2015-04-21 00:00:17.775167 	7 	0:00:00.017911
39 	2015-04-21 00:00:17.775271 	2015-04-21 00:00:17.800162 	3 	0:00:00.024891
