Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-20 23:40:21.937017 	2015-04-20 23:40:21.960637 	7 	0:00:00.023620
2 	2015-04-20 23:40:21.960790 	2015-04-20 23:40:21.987643 	0 	0:00:00.026853
3 	2015-04-20 23:40:21.987748 	2015-04-20 23:40:22.013643 	8 	0:00:00.025895
4 	2015-04-20 23:40:22.013750 	2015-04-20 23:40:22.038005 	1 	0:00:00.024255
5 	2015-04-20 23:40:22.038154 	2015-04-20 23:40:22.062597 	3 	0:00:00.024443
6 	2015-04-20 23:40:22.062735 	2015-04-20 23:40:22.090599 	6 	0:00:00.027864
7 	2015-04-20 23:40:22.090718 	2015-04-20 23:40:22.114641 	9 	0:00:00.023923
8 	2015-04-20 23:40:22.114743 	2015-04-20 23:40:22.139659 	5 	0:00:00.024916
9 	2015-04-20 23:40:22.139763 	2015-04-20 23:40:22.163606 	3 	0:00:00.023843
10 	2015-04-20 23:40:22.163710 	2015-04-20 23:40:22.192640 	6 	0:00:00.028930
11 	2015-04-20 23:40:22.192744 	2015-04-20 23:40:22.217619 	4 	0:00:00.024875
12 	2015-04-20 23:40:22.217721 	2015-04-20 23:40:22.242602 	1 	0:00:00.024881
13 	2015-04-20 23:40:22.242751 	2015-04-20 23:40:22.266640 	9 	0:00:00.023889
14 	2015-04-20 23:40:22.266743 	2015-04-20 23:40:22.293373 	3 	0:00:00.026630
15 	2015-04-20 23:40:22.293483 	2015-04-20 23:40:22.317618 	6 	0:00:00.024135
16 	2015-04-20 23:40:22.317722 	2015-04-20 23:40:22.341638 	8 	0:00:00.023916
17 	2015-04-20 23:40:22.341741 	2015-04-20 23:40:22.365596 	7 	0:00:00.023855
18 	2015-04-20 23:40:22.365735 	2015-04-20 23:40:22.388638 	5 	0:00:00.022903
19 	2015-04-20 23:40:22.388742 	2015-04-20 23:40:22.418637 	2 	0:00:00.029895
20 	2015-04-20 23:40:22.418740 	2015-04-20 23:40:22.442639 	4 	0:00:00.023899
21 	2015-04-20 23:40:22.442742 	2015-04-20 23:40:22.467587 	1 	0:00:00.024845
22 	2015-04-20 23:40:22.467693 	2015-04-20 23:40:22.494612 	6 	0:00:00.026919
23 	2015-04-20 23:40:22.494718 	2015-04-20 23:40:22.520624 	3 	0:00:00.025906
24 	2015-04-20 23:40:22.520727 	2015-04-20 23:40:22.545642 	6 	0:00:00.024915
25 	2015-04-20 23:40:22.545745 	2015-04-20 23:40:22.569646 	2 	0:00:00.023901
26 	2015-04-20 23:40:22.569749 	2015-04-20 23:40:22.597642 	1 	0:00:00.027893
27 	2015-04-20 23:40:22.597771 	2015-04-20 23:40:22.621615 	5 	0:00:00.023844
28 	2015-04-20 23:40:22.621722 	2015-04-20 23:40:22.646646 	4 	0:00:00.024924
29 	2015-04-20 23:40:22.646750 	2015-04-20 23:40:22.672660 	6 	0:00:00.025910
30 	2015-04-20 23:40:22.672762 	2015-04-20 23:40:22.700660 	5 	0:00:00.027898
31 	2015-04-20 23:40:22.700763 	2015-04-20 23:40:22.723647 	2 	0:00:00.022884
32 	2015-04-20 23:40:22.723749 	2015-04-20 23:40:22.749639 	5 	0:00:00.025890
33 	2015-04-20 23:40:22.749743 	2015-04-20 23:40:22.776616 	9 	0:00:00.026873
34 	2015-04-20 23:40:22.776718 	2015-04-20 23:40:22.801641 	5 	0:00:00.024923
35 	2015-04-20 23:40:22.801746 	2015-04-20 23:40:22.826664 	6 	0:00:00.024918
36 	2015-04-20 23:40:22.826767 	2015-04-20 23:40:22.852645 	8 	0:00:00.025878
37 	2015-04-20 23:40:22.852748 	2015-04-20 23:40:22.877646 	4 	0:00:00.024898
38 	2015-04-20 23:40:22.877760 	2015-04-20 23:40:22.904600 	7 	0:00:00.026840
39 	2015-04-20 23:40:22.904744 	2015-04-20 23:40:22.929641 	1 	0:00:00.024897
40 	2015-04-20 23:40:22.929744 	2015-04-20 23:40:22.953639 	7 	0:00:00.023895
41 	2015-04-20 23:40:22.953743 	2015-04-20 23:40:22.980660 	9 	0:00:00.026917
42 	2015-04-20 23:40:22.980763 	2015-04-20 23:40:23.006694 	3 	0:00:00.025931
43 	2015-04-20 23:40:23.006798 	2015-04-20 23:40:23.032638 	6 	0:00:00.025840
44 	2015-04-20 23:40:23.032742 	2015-04-20 23:40:23.057645 	8 	0:00:00.024903
45 	2015-04-20 23:40:23.057748 	2015-04-20 23:40:23.083640 	3 	0:00:00.025892
46 	2015-04-20 23:40:23.083742 	2015-04-20 23:40:23.109638 	4 	0:00:00.025896
47 	2015-04-20 23:40:23.109741 	2015-04-20 23:40:23.133653 	8 	0:00:00.023912
48 	2015-04-20 23:40:23.133735 	2015-04-20 23:40:23.158643 	9 	0:00:00.024908
49 	2015-04-20 23:40:23.158747 	2015-04-20 23:40:23.185639 	1 	0:00:00.026892
50 	2015-04-20 23:40:23.185742 	2015-04-20 23:40:23.212672 	8 	0:00:00.026930
51 	2015-04-20 23:40:23.212800 	2015-04-20 23:40:23.237638 	1 	0:00:00.024838
52 	2015-04-20 23:40:23.237749 	2015-04-20 23:40:23.262638 	3 	0:00:00.024889
53 	2015-04-20 23:40:23.262742 	2015-04-20 23:40:23.288643 	8 	0:00:00.025901
54 	2015-04-20 23:40:23.288806 	2015-04-20 23:40:23.313634 	5 	0:00:00.024828
55 	2015-04-20 23:40:23.313738 	2015-04-20 23:40:23.338639 	8 	0:00:00.024901
56 	2015-04-20 23:40:23.338741 	2015-04-20 23:40:23.363665 	0 	0:00:00.024924
