Run 	T Sent 	T Received 	Message ID 	dT
1 	2015-04-02 09:19:14.614114 	2015-04-02 09:19:14.619669 	5 	0:00:00.005555
2 	2015-04-02 09:19:14.631255 	2015-04-02 09:19:14.636900 	4 	0:00:00.005645
3 	2015-04-02 09:19:14.648989 	2015-04-02 09:19:14.656444 	9 	0:00:00.007455
4 	2015-04-02 09:19:14.669049 	2015-04-02 09:19:14.674540 	8 	0:00:00.005491
5 	2015-04-02 09:19:14.686361 	2015-04-02 09:19:14.692532 	4 	0:00:00.006171
6 	2015-04-02 09:19:14.704073 	2015-04-02 09:19:14.710030 	3 	0:00:00.005957
7 	2015-04-02 09:19:14.721650 	2015-04-02 09:19:14.727749 	5 	0:00:00.006099
8 	2015-04-02 09:19:14.738453 	2015-04-02 09:19:14.745142 	1 	0:00:00.006689
9 	2015-04-02 09:19:14.756306 	2015-04-02 09:19:14.762354 	7 	0:00:00.006048
10 	2015-04-02 09:19:14.774161 	2015-04-02 09:19:14.780110 	8 	0:00:00.005949
11 	2015-04-02 09:19:14.791504 	2015-04-02 09:19:14.797990 	5 	0:00:00.006486
12 	2015-04-02 09:19:14.808396 	2015-04-02 09:19:14.815212 	9 	0:00:00.006816
13 	2015-04-02 09:19:14.827366 	2015-04-02 09:19:14.834144 	4 	0:00:00.006778
14 	2015-04-02 09:19:14.846380 	2015-04-02 09:19:14.852285 	5 	0:00:00.005905
15 	2015-04-02 09:19:14.864007 	2015-04-02 09:19:14.869979 	7 	0:00:00.005972
16 	2015-04-02 09:19:14.881435 	2015-04-02 09:19:14.887594 	2 	0:00:00.006159
17 	2015-04-02 09:19:14.898307 	2015-04-02 09:19:14.906835 	4 	0:00:00.008528
18 	2015-04-02 09:19:14.918977 	2015-04-02 09:19:14.924690 	9 	0:00:00.005713
19 	2015-04-02 09:19:14.934999 	2015-04-02 09:19:14.941137 	6 	0:00:00.006138
20 	2015-04-02 09:19:14.954042 	2015-04-02 09:19:14.961169 	5 	0:00:00.007127
21 	2015-04-02 09:19:14.973920 	2015-04-02 09:19:14.980019 	9 	0:00:00.006099
22 	2015-04-02 09:19:14.992554 	2015-04-02 09:19:14.998269 	8 	0:00:00.005715
23 	2015-04-02 09:19:15.008873 	2015-04-02 09:19:15.014884 	4 	0:00:00.006011
24 	2015-04-02 09:19:15.026010 	2015-04-02 09:19:15.031577 	1 	0:00:00.005567
25 	2015-04-02 09:19:15.043996 	2015-04-02 09:19:15.050363 	8 	0:00:00.006367
